ID,seg_words
1,"[['辉夜', 'op']]"
2,"[['真', '•', '冥', '场面']]"
3,"[['小女孩', '声优', '整活', '这方面', '一流']]"
4,"[['这要', '换', '我妈', '杀手', '很酷']]"
5,"[['辉夜', 'bgm']]"
6,"[['瓜娃', '声音', '好可爱']]"
7,"[['拉面', '馊', '拉面', '馊']]"
8,"[['番名', '尼亚', '吃瓜记']]"
9,"[['瓜神', '真的', '养', '好瓜'], ['请问', '这瓜', '钱', '一斤']]"
10,"[['拼凑', '一家人']]"
11,"[['一家人', '爸爸', '特工', '妈妈', '杀手', '女儿', '超能力'], []]"
12,"[['辉夜', 'op']]"
13,"[['600', '点错', 'doge']]"
14,"[['世界', '顶尖', '暗杀', '转生', '为异', '世界', '贵族', 'OP']]"
15,"[['番名', '间谍', '过家家']]"
16,"[['尤里', '感觉']]"
17,"[['瓜神', '配音', '到位']]"
18,"[['三月份', '一刻']]"
19,"[['番名', '尼亚', '吃瓜记']]"
20,"[['震惊', '女儿', '整年']]"
21,"[['声优', '哈哈']]"
22,"[['老师', '雪', '婚后', '生活']]"
23,"[['辉夜', '啥意思', '四月']]"
24,"[['会长', '副会长', '婚后', '生活']]"
25,"[['辉夜', 'op']]"
26,"[['卢', '背景音乐']]"
27,"[['辉夜', '放', '歌', '礼貌']]"
28,"[['手榴弹', '拉环', '结婚戒指']]"
29,"[['炮灰', '冥', '场面']]"
30,"[['不想', '追'], ['杀手', '脸红']]"
31,"[['辉夜', 'op', '不见', '拿走']]"
32,"[['暗杀', '刚用', '完', 'op'], ['暗杀']]"
33,"[['狗狗', '值得', '出镜', '哈哈哈哈']]"
34,"[['杀手', '特工', '超能力']]"
35,"[['草', '歌单', '响']]"
36,"[['荷包蛋'], ['阿尼娅', '限定版']]"
37,"[['新版', '游戏王', '声优']]"
38,"[['一只', '预知', '未来', '修狗']]"
39,"[['司波', '声线']]"
40,"[['莫名', '合适']]"
41,"[['行走', '表情', '包']]"
42,"[['哈哈哈哈哈哈哈', '孩子']]"
43,"[['三明', '间谍', '过家家']]"
44,"[['老师', '结婚', '雪', '养', '双叶']]"
45,"[['bgm', '梦回', '寒假']]"
46,"[['好像', '老师', '雪', '声优']]"
47,"[['三月', '一秒', '不想', '呆']]"
48,"[['雪', '老师', '婚后', '生活']]"
49,"[['老师', '考哥', '笑']]"
50,[['番名']]
51,"[['杀手', '间谍', '期待']]"
52,"[['女儿', '鸭', '没洛', '哈哈']]"
53,"[['表情', '包', 'bgm']]"
54,"[['间谍', '过家家', '放', '暗杀', 'bgm', '太', '刺激', '哈哈']]"
55,"[['银', '御', '行']]"
56,"[['尼亚', '睡颜', '表情', '包']]"
57,"[['漫画', '笑', '肚子痛']]"
58,"[['o', '米', '四达', 'o', '米', '四达']]"
59,"[['爸爸', '无语']]"
60,"[['白银', 'tm', '礼貌']]"
61,"[['季度', '一分钟']]"
62,"[['漫画', '更新', '完']]"
63,"[['白银', '和辉', '夜异', '世界', '一家人']]"
64,"[['不愧', '老师', '女儿', '哪有', '千叶', '人不爱', '花生']]"
65,"[['真的', '喜欢', '太太', '强', '女人']]"
66,[[]]
67,"[['哈哈哈哈哈', '三月', '结束']]"
68,"[['白银', '御行', '婚后', '生活']]"
69,"[['不哭', '请', '吃', '花生米']]"
70,"[['哈哈', '读心术']]"
71,"[['瓜神'], ['瓜神']]"
72,"[['荆棘', '公主']]"
73,"[['张宇', '唱歌', 'doge']]"
74,"[['不愧', '华哥']]"
75,"[['路易十六', '快乐', '台']]"
76,"[['老师', '雪', '婚后', '生活']]"
77,"[['声优', '老师', '同一个']]"
78,"[['声音', '好像', '老师']]"
79,"[['老师', '雪', '婚后', '生活']]"
80,"[['我愿', '称之为', '神', '四月']]"
81,"[['啊啊啊', '我要', '穿越', '四月']]"
82,"[['三月', '一秒', '不想']]"
83,"[['番名', 'JOJO', '奇妙', '冒险']]"
84,"[['神', '等同', '辉', '夜大', '小姐']]"
85,"[['三月', '一秒', '不想']]"
86,"[['暗杀', '贵族', 'bgm', '吔']]"
87,"[['香', '煎', '荷包蛋']]"
88,[['瓜神']]
89,"[['路易十六', '快乐', '台']]"
90,"[['火钳', '刘明']]"
91,"[['bgm', '好评']]"
92,"[['三月份', '一刻', '不想']]"
93,"[['BGM', '炸']]"
94,"[['骗我', '生', '女儿']]"
95,"[['纱织', '声线', '巴适']]"
96,"[['华哥', '超人']]"
97,"[['蛇', '喰', '梦', '子', '配音']]"
98,"[['蝴蝶', '忍', '声优', '啊啊啊'], ['爱了', '爱了']]"
99,"[['确实', '题材', '不错']]"
100,"[['是因为', '其他人', '眼睛', '选']]"
101,"[['间谍', '过家家']]"
102,"[['间谍', '过家家']]"
103,"[['换成', '暗杀', 'BGM']]"
104,"[['哇库', '哇库']]"
105,"[['间谍', '过家家']]"
106,"[['尼亚', '传奇']]"
107,"[['我要', '三月', '何用']]"
108,"[['三月', '一刻', '呆']]"
109,"[['三月', '一秒']]"
110,"[['路易十六', '快乐', '台']]"
111,"[['超级', '期待']]"
112,"[['BGM', '犯规', '●', '◡', '●']]"
113,"[['三月', '一刻']]"
114,[['瓜神']]
115,"[['噢', '辣', '妹儿', '米斯', '达']]"
116,"[['一不小心', '漫画', '追', '完了', '难受']]"
117,[['三月']]
118,[['名场面']]
119,"[['超级', '期待']]"
120,"[['笑死', 'bgm']]"
121,"[['漫画', '我乐', '不行']]"
122,"[['男主', '声优', '白银']]"
123,"[['有瓜', '吃']]"
124,"[['这歌', '真', '熟悉']]"
125,"[['哈哈哈', '太', '可爱']]"
126,"[['暗杀', '贵族'], ['单曲', '循环', '看着']]"
127,"[['华哥', 'suki']]"
128,"[['辉月', '剧情', '烂', '好像', '动画', '剧情', '只会', '出道', '成神']]"
129,"[['画风', '还原']]"
130,"[['千叶', '花生']]"
131,[['三月']]
132,"[['手机', '屏', '太小', '点错']]"
133,[['好可爱']]
134,"[['bgm', '骑', '银龙', '背上']]"
135,[['霸权']]
136,[['瓜神']]
137,"[['兄弟', '路', '走', '窄']]"
138,[['吃瓜']]
139,"[['bgm', '暗杀', '贵族', 'op']]"
140,"[['不哭', '金鱼']]"
141,"[['分明', '白银', '辉夜']]"
142,"[['三月', '过不下去']]"
143,"[['欧', '辣妹', '迷死']]"
144,"[['瓜', '王耶']]"
145,"[['呜呜呜', '呜呜呜', '呜呜呜', '真的', '喜欢', '一家子']]"
146,"[['老师', '雪']]"
147,"[['华哥', '耶']]"
148,[['华哥']]
149,"[['哈哈哈', '辉夜', 'op']]"
150,"[['一加', '一加']]"
151,"[['咔', '咔']]"
152,"[['超', '能比', '企古', '一家']]"
153,"[['瓦库', '瓦库']]"
154,"[['月', '一刻']]"
155,[['华哥']]
156,"[['bgm', '没换', '啊啊啊']]"
157,"[['哈哈哈哈', '好可爱']]"
158,[['哈哈哈哈哈哈']]
159,[['卢各乱入']]
160,"[['点错', '凑']]"
161,"[['小东西', '跟我走', '买']]"
162,"[['有点像', '暗杀', 'bgm']]"
163,"[['哈哈哈哈哈', '蚌埠', '住']]"
164,"[['瓜神', '米娅']]"
165,"[['蓬蓬', '头']]"
166,[]
167,"[['三月份', '咱不活']]"
168,[['点错']]
169,[['啥时候']]
170,[['学习']]
171,"[['暗杀', '贵族', 'op']]"
172,"[['三月', '过不下去']]"
173,[['你币']]
174,[['老师']]
175,"[['哇苦', '苦']]"
176,[['金金']]
177,"[['三月', '一刻', '不想']]"
178,"[['瓦库', '瓦库']]"
179,"[['い', 'ち', 'ゃ']]"
180,"[['纱织', '姐姐']]"
181,"[['大家好', '花生']]"
182,[[]]
183,[['瓜神']]
184,"[['想', '动漫', '表达', '太太', '破坏力']]"
185,[[]]
186,"[['瓦克', '瓦克']]"
187,"[['哈哈哈', '笑死']]"
188,[['花生']]
189,"[['BGM', '好评']]"
190,[['哈哈哈哈']]
191,[]
192,[['哈哈哈哈']]
193,[['七七']]
194,"[['哇酷', '袜裤']]"
195,[['番名']]
196,[['迷死']]
197,"[['点错', '超棒']]"
198,"[['蓬蓬', '头']]"
199,"[['哇酷', '哇酷']]"
200,"[['bgm', '好评']]"
201,[['卢各乱入']]
202,"[['老师', '雪']]"
203,"[['瓦库', '瓦库']]"
204,"[['瓦克', '瓦克']]"
205,"[['熟悉', 'bgm']]"
206,"[['瓦库', '瓦库']]"
207,"[['谭雅', '少尉']]"
208,"[['31', '日', '明天', '四月']]"
209,[['yijiayijia']]
210,"[['咔', '咔']]"
211,[['暗杀']]
212,"[['23333', '33']]"
213,[['JJ']]
214,"[['わ', 'く', 'わ', 'く']]"
215,"[['四月', '快来']]"
216,[['纱织']]
217,"[['わ', 'く', 'わ', 'く']]"
218,"[['卢格别', '走']]"
219,[['瓜神']]
220,[]
221,"[['暗杀', 'op']]"
222,[['猛男']]
223,"[['角度', '真', '有点像', '会长']]"
224,[['小骗子']]
225,"[['辣妹子', '辣妹子', '辣妹子']]"
226,"[['设定', '亲生女儿']]"
227,"[['少女', '玩', '挺', '变态']]"
228,"[['很棒', '一家人']]"
229,"[['女儿', '鸭', '咯', '哈哈']]"
230,"[['寄', '寄']]"
231,"[['BGM', '是辉', '夜大', '小姐', '想', '告白']]"
232,"[['日', '安', '晚安']]"
233,"[['奶奶', '点错']]"
234,"[['狗', '位置', '总', '感觉']]"
235,"[['孩子', '想']]"
236,"[['女', '纱织', '姐姐']]"
237,"[['蔡', '蔡文姬']]"
238,[['唧唧']]
239,"[['暗杀', '贵族', 'bgm']]"
240,[['孩子']]
241,"[['瞧', '孩子']]"
242,"[['一家子', '简单', '狗', '离谱']]"
243,"[['眼光', '真好']]"
244,"[['不哭', '请', '吃', '花生米']]"
245,[['太太']]
246,[['白银']]
247,"[['颜艺', '过家家']]"
248,"[['记住', '这条', '狗']]"
249,"[['少女', '好颜艺']]"
250,"[['少女', '好颜艺']]"
251,"[['眼睛', '好大']]"
252,"[['腿部', '挂件']]"
253,"[['月', '快点', '走']]"
254,"[['辉', '夜大', '小姐']]"
255,"[['三月', '啥时候', '完', '度日如年']]"
256,"[['原作', '叽叽']]"
257,"[['噢', '辣妹', '米斯', '达', '米斯', '达']]"
258,"[['偷偷', '抱', '走', '约尔']]"
259,"[['月', '日才', '开播']]"
260,[['jj']]
261,"[['杀手', '间谍', '读心术', '看穿', '未来', '大白', '狗']]"
262,[['吉吉']]
263,"[['吃', '臭臭', '饭']]"
264,"[['纱织', '姐姐']]"
265,"[['这部', '动漫', '小孩', '声音', '屑', '那味']]"
266,"[['太想', '白银', '会长', '和辉', '夜大', '小姐']]"
267,"[['bgm', '暗杀', '贵族', '人唱']]"
268,"[['姑娘', '头发', '粉色']]"
269,"[['真', '杀手']]"
270,[['唧唧']]
271,"[['异', '世界', '杀手', 'bjm', '狗头']]"
272,[['gg']]
273,[['jj']]
274,"[['辣妹子', '辣']]"
275,"[['确实', '白银', '会长']]"
276,"[['总得', '个头']]"
277,[]
278,"[['卢', '图', '哈德']]"
279,"[['老师', '这生', '孩子']]"
280,[['狗']]
281,"[['don', 't', 'mind', '尼亚', '英语']]"
282,"[['o', '那妹', '米', '达', 'o', '米', '四达']]"
283,[['孩子']]
284,"[['孩子', '想']]"
285,"[['吃瓜', '少女']]"
286,"[['bgm', '对口']]"
287,"[['bgm', '对口']]"
